symbol,name,yahoo_symbol
ADDA,AMEX Advance - Decline
ADDE,ETFs  Advance - Decline
ADDN,NYSE Advance - Decline
ADDQ,NASD Advance - Decline
ADDT,Stocks Advance - Decline
ADR,AMEX Internationl Market Index
ADRA,AMEX Advance Decline Ratio
ADRD,OTC Advance Decline Ratio
ADRE,ETFs  Advance Decline Ratio
ADRN,NYSE Advance Decline Ratio
ADRQ,NASD Advance Decline Ratio
ADRT,Stocks Advance Decline Ratio
ADVA,AMEX Advancing Stocks
ADVD,OTC Advancing Stocks
ADVE,ETFs  Advancing Stocks
ADVN,NYSE Advancing Stocks
ADVQ,NASD Advancing Stocks
ADVT,Stocks Advancing Stocks
AEX,AEX General - Netherlands
AMZ,Alerian Mlp Index
ASHD,AMEX Declining Stocks
ASHF,AMEX Advances - Declines
ASHR,AMEX Advance Decline Ratio
ASHU,AMEX Advancing Stocks
ATX,ATX - Austria
AVDA,AMEX Advances - Declines Volume
AVDD,OTC Advance - Decline Volume
AVDE,ETFs  Advances - Declines Volume
AVDN,NYSE Advances - Declines Volume
AVDQ,NASD Advances - Declines Volume
AVLD,AMEX Declining Volume
AVLF,AMEX Advance Decline Volume Diff
AVLR,AMEX Advance Decline Vol Ratio
AVLU,AMEX Advancing Volume
AVRA,AMEX Advance / Decline Volume
AVRD,OTC Advance / Decline Volume
AVRE,ETFs  Advance / Decline Volume
AVRN,NYSE Advance / Decline Volume
AVRQ,NASD Advance / Decline Volume
AVRT,Stocks Advance / Decline Volume
AVVA,AMEX Advancing Volume
AVVD,OTC Advancing Volume
AVVE,ETFs  Advancing Volume
AVVN,NYSE Advancing Volume
AVVQ,NASD Advancing Volume
AVVT,Stocks Advancing Volume
BANK,Nasdaq Bank
BCMM,Barchart Market Momentum Index
BDI,Baltic Dry Index
BFX,BEL 20 - Belgium
BJE,NYSE Arca Mini-Biotechnology In-
BSESN,BSE 30 - India
BTD,Biotech Boxes Indicative Value
BTK,AMEX Biotechnology Index
BTS,AMEX Biotechnology Index Final
BUX,B2B Internet Holdrs Index
BVSP,Bovespa - Brazil
BXD,CBOE DJIA BUYWRITE INDEX
BXM,CBOE BUYWRITE MONTHLY INDEX
BXN,CBOE BUYWRITE MONTHLY INDEX
BXR,CBOE RUSSELL 2000 BUYWRITE INDE
BXY,CBOE S& P 500 BUYWRITE    INDEX
BZJ,NYSE Arca Mini-Oil Index
CAC40,Paris CAC 40
CEX,S& P Chemicals Index
CIB,CRB Continuous Index
CIE,STOWE COAL INDEX EUR
CIU,STOWE COAL INDEX USD
CIV,Cboe/Cbot Corn Volatility Index
CKG,S&P 600 Barra Grwth
CMR,Morgen Stanley Consumer Index
COMP,Nasdaq Composite
CPH,AMEX China Settle
CPR,Copper Index
CRB,CRB Index
CRE,CRB Nonenergy Total
CRS,CRB Nonenergy Excess
CRT,CRB Total Return
CRX,AMEX M/S Commodity Relate Equity
CSO,Morgan Stanley Consumer Index F
CTM,Credit Suisse First Boston Tech
CTN,Csfb Technology Index
CVK,Smcp 600Barr Val
CXV,Morgan Stanley Commodity Relate
CYC,Morgen Stanley Cyclical Index
CYM,Claymore Yield ETF Iopv
CYO,Morgan Stanley Cyclical Index F
CYX,LONG SHORT TECHNOLOGY TRAKRS IN
CZH,AMEX CHINA INDX
DAA,Mergent Div
DAIX,AIG EXCESS RETURN INDEX
DAT,MERGENT INTERNATIONAL DIVIDEND
DAX,Frankfurt Dax
DAY,MERGENT DIV 50
DCAG,DJ-UBS Agriculture Subindex
DCBT,DJCBTI SETTLE
DCEN,DJ-UBS Energy Subindex
DCFI,DOW Comp Stocks Above 50-Day Average
DCGR,DJ-UBS Grains Subindex
DCIN,DJ-UBS Industrial Metals Subindex
DCLI,DJ-UBS Livestock Subindex
DCOF,DOW Comp Stocks Above 150-Day Average
DCOH,DOW Comp Stocks Above 100-Day Average
DCPR,DJ-UBS Precious Metals Subindex
DCSE,Djw US Semiconductor
DCSO,DJ-UBS Softs Subindex
DCSP,DJ-UBS Commodity Spot Index
DCTH,DOW Comp Stocks Above 200-Day Average
DCTW,DOW Comp Stocks Above 20-Day Average
DCXE,DJ-UBS ExEnergy Subindex
DDA,DJIA VOLATILITY INDEX - OFFER S
DDB,DJIA VOLATILITY INDEX - BID SID
DDO,AMEX Disk Drive Index Final Set
DDX,AMEX Disk Drive Index
DECA,AMEX Declining Stocks
DECD,OTC Declining Stocks
DECE,ETFs  Declining Stocks
DECN,NYSE Declining Stocks
DECQ,NASD Declining Stocks
DECT,Stocks Declining Stocks
DFI,AMEX Defense Index
DFW,Aeros & Defense Bridges Basket Value Index
DFX,Defense Index
DGE,AMEX Equal Weighted Pharma Index
DHC,DYNAMIC HLTHCARE INTELL
DHD,DYNAMIC BANKING INTELL
DIFI,DOW Indu Stocks Above 50-Day Average
DIOF,DOW Indu Stocks Above 150-Day Average
DIOH,DOW Indu Stocks Above 100-Day Average
DITH,DOW Indu Stocks Above 200-Day Average
DITW,DOW Indu Stocks Above 20-Day Average
DIVD,S&P 500 ANNUAL DIVIDEND - 10X
DIVQ,NASDAQ Dividend Achievers Index
DJA,DJ Composite
DJC,DJ Aig Commodity Index
DJEC,DJ INTERNET COMMERCE IND
DJI,DJ Industrial Average
DJT,DJ Transport Average
DJU,DJ Utility Average
DJUS,Dow Jones US Broad Market Index
DJWO,DJ WORLD STOCK INDEX
DJWS,DJ WILSHIRE 5000 TOT
DLTC,U.S. Large-Cap Technology Index
DMA,ISE Electronic Trading Index
DMT,Dly Mirrow Idx
DOI,AMEX Defense Index Final Settle
DOWE,INDUSTRIALS EU$
DOWV,TREASURIES IDX
DRB,SHR BBACK ACH IX
DRCI,DJ COMPREIT
DREI,DJ EQUITYREIT
DRG,AMEX Pharmaceutical Index
DRO,AMEX Pharmaceutical Index Final
DSAE,DJ US AERODEF
DSAF,DJ US DELIVRYSRV
DSAG,DJ US ASSETMNG
DSAI,DJ US ELECEQUIP
DSAL,DJ US ALUMINUM
DSAM,DJ US MEDEQUIP
DSAP,DJ US AUTOPARTS
DSAR,DJ US AIRLINES
DSAS,DJ US AEROSPACE
DSAT,DJ US AUTOPARTS
DSAU,DJ US AUTOMOBILE
DSAV,DJ US MEDIAAGN
DSBC,DJ US BRDCASTENT
DSBD,DJ US BLDGMATFIX
DSBE,DJ US BSTRNGEMP
DSBK,DJ US BANKS
DSBM,DJ US BASICMAT
DSBS,DJ US BSCRSRCES
DSBT,DJ US BIOTECHNO
DSBV,DJ US BEVERAGES
DSCA,DJ US GAMBLING
DSCC,DJ US COMMCHEM
DSCE,DJ US CONSELECT
DSCF,DJ US CLOTHACCSS
DSCG,DJ US TRAVLEIS
DSCH,DJ US CHEMICALS
DSCL,DJ US COAL
DSCM,DJ US PERSPROD
DSCN,DJ US CONSMATRLS
DSCP,DJ US CTNRS&PKNG
DSCR,DJ US CMPTRHRDWR
DSCS,DJ US SPLTYCNSRV
DSCT,DJ US SEMICONDTR
DSCX,DJ US SPCLTYCHEM
DSCY,DJ US CONSUMSRV
DSDB,DJ US BREWERS
DSDN,DJ US DEFENSE
DSDR,DJ US FDDRGRET
DSDS,DJ US INSUPPLIER
DSDT,U.S. Diversified REITs Index
DSDV,DJ US CMPTRSRV
DSEC,DJ US ELCCOMPEQP
DSEE,DJ US ELECEQUP
DSEH,U.S. Real Estate Holding & Development Index
DSEN,DJ US OIL&GAS
DSES,U.S. Real Estate Services Index
DSEU,DJ US ELECTRCTY
DSFA,DJ US FINADMIN
DSFB,DJ US FOOD&BEV
DSFC,DJ US FXLNTELCM
DSFD,DJ US FOODRTWHSL
DSFE,DJ US INDUSTMACH
DSFH,DJ US FURNISHNG
DSFI,DJ US FINCLSRV
DSFN,DJ US FINANCIALS
DSFO,DJ US FOODPRODRS
DSFP,DJ US FOODPRDCTS
DSFR,DJ US FORESTPAPR
DSFT,DJ US FOOTWEAR
DSFV,U.S. Financial Services Index
DSGF,DJ US GENFINAN
DSGI,DJ US GENINDUST
DSGT,DJ US GENRETAIL
DSGU,DJ US GASDISTRIB
DSHB,DJ US HOMECONS
DSHC,DJ US HLTHCARE
DSHD,DJ US DURHLDPROD
DSHG,DJ US HLDGOODS
DSHI,DJ US HMIMPRETL
DSHL,U.S. Hotel & Lodging REITs Index
DSHN,DJ US NDURHLDPRD
DSHP,DJ US HLTHCRPVDR
DSHR,DJ US COMRVEHTRK
DSHV,DJ US HVYCONS
DSIB,DJ US INSBROKERS
DSID,DJ US DVSFINDUS
DSIF,DJ US FLLINEINS
DSIG,DJ US INDGDS&SRV
DSIL,DJ US LIFEINSUR
DSIM,DJ US INDMETALS
DSIN,DJ US INDSTRIALS
DSIO,U.S. Industrial & Office REITs Index
DSIP,DJ US PROPCASINS
DSIQ,DJ US INDSTENGNG
DSIR,DJ US INSURANCE
DSIS,DJ US SUPPORTSRV
DSIT,DJ US INDSTTRANS
DSIU,DJ US REINSURAN
DSIV,DJ US BUSSUPSRV
DSIX,DJ US NLIFEINSUR
DSLE,DJ US LEISGOODS
DSLG,DJ US HOTELS
DSLW,DJ US LOWCAP
DSMC,DJ US HCREQPSRV
DSME,DJ US MEDIA
DSMF,DJ US MORTGFIN
DSMG,DJ US MINING
DSMR,U.S. Mortgage REITs Index
DSMS,DJ US MDSUPPLIES
DSMT,DJ US MARTRANSPT
DSMU,DJ US MULUTILTES
DSNC,DJ US CONSUMGDS
DSNF,DJ US NONFERMET
DSNG,DJ US PERHLDGDS
DSNS,DJ US INTERNET
DSOE,DJ US ELECOFFEQP
DSOG,DJ US OILGAS
DSOI,DJ US OILEQPSRV
DSOL,DJ US INTGOILGAS
DSOQ,DJ US OILEQPSRV
DSOS,DJ US EXPLPROD
DSPB,DJ US PUBLISHING
DSPC,DJ US WSTDSPSRV
DSPG,DJ US PERSGOODS
DSPL,DJ US PIPELINES
DSPM,DJ US GOLDMNG
DSPN,DJ US PHARMBIO
DSPP,DJ US PAPER
DSPR,DJ US PHARMCTCLS
DSPT,DJ US PLTPRECMET
DSRA,DJ US APPRLRET
DSRB,DJ US BRDLNRET
DSRD,DJ US DRUGRET
DSRE,U.S. Real Estate Index
DSRH,DJ US RESTHLDG
DSRI,DJ US RESTINVTR
DSRL,U.S. Retail REITs Index
DSRN,U.S. Residential REITs Index
DSRP,DJ US RECPRODUCT
DSRQ,DJ US RECSERVICE
DSRR,DJ US RAILROADS
DSRS,DJ US SPLTYRET
DSRT,DJ US RETAIL
DSRU,DJ US RESTRBARS
DSSB,DJ US INVSRV
DSSC,DJ US SEMCNDCTRS
DSSD,DJ US SOFTDRINKS
DSSF,DJ US CONSUMFIN
DSSP,DJ US SPECIALFIN
DSSR,U.S. Specialty REITs Index
DSST,DJ US STEEL
DSSV,DJ US SFTCPTRSRV
DSSW,DJ US SOFTWARE
DSTB,DJ US TOBACCO
DSTC,DJ US TECHNOLOGY
DSTK,DJ US TRUCKING
DSTL,DJ US TELECOM
DSTP,DJ US TOPCAP
DSTQ,DJ US TECHHRDEQ
DSTR,DJ US TIRES
DSTS,DJ US TRANSSRV
DSTT,DJ US TRVLTOUR
DSTY,DJ US TOYS
DSUO,DJ US GASWTRMUT
DSUT,DJ US UTILITIES
DSVE,U.S. Conventional Electricity Index
DSVN,DJ US DISVINTNER
DSWC,DJ US MOBTELECOM
DSWU,DJ US WATER
DTCI,DJ COMPREIT TR
DTEI,DJ EQUITYREIT TR
DTFI,DOW Tran Stocks Above 50-Day Average
DTFX,CME FX Index
DTOF,DOW Tran Stocks Above 150-Day Average
DTOH,DOW Tran Stocks Above 100-Day Average
DTTH,DOW Tran Stocks Above 200-Day Average
DTTW,DOW Tran Stocks Above 20-Day Average
DTWC,DJ COMPAVGTR
DTWI,DJ INDUS AVG TR
DTWT,DJ TRANSAVGTR
DTWU,DJ UTILITYAVGTR
DUBS,DJ UBS COMMODITY INDEX
DUFI,DOW Util Stocks Above 50-Day Average
DUOF,DOW Util Stocks Above 150-Day Average
DUOH,DOW Util Stocks Above 100-Day Average
DUSL,DJ US LRGCAP
DUSM,DJ US MIDCAP
DUSS,DJ US SMLCAP
DUTH,DOW Util Stocks Above 200-Day Average
DUTW,DOW Util Stocks Above 20-Day Average
DVAA,S&P 500 FORWARD DIVD - 2010
DVAB,S&P 500 FORWARD DIVD - 2011
DVCA,AMEX Declining Volume
DVCD,OTC Declining Volume
DVCE,ETFs  Declining Volume
DVCN,NYSE Declining Volume
DVCQ,NASD Declining Volume
DVCT,Stocks Declining Volume
DVDE,IMPLIED FORWARD DVS DECEMBER
DVG,MERGENT DIV ACHV SEL IND
DVJN,IMPLIED FORWARD DVS JUNE
DVMR,IMPLIED FORWARD DVS MARCH
DVQT,NASDAQ Dividend Achievers Total Return Index
DVS,S&P 500 DIVIDEND INDEX - 10X
DVST,IMPLIED FORWARD DVS SEPTEMBER
DWC,DJ Wilshire 5000 Index (Full Cap)
DWCB,DJ US BANKS TOTAL INDEX
DWE,DYNAMIC ENERGY EXPLORATION & PR
DWJ,DYNAMIC IURANCE INTELLIDEX
DWO,DYNAMIC OIL SERVICES INTELLIDEX
DWR,DYNAMIC RETAIL INTELLIDEX
DWU,DYNAMIC UTILITIES INTELLIDEX
DWY,DYNAMIC TELECOMMUNICATION & WIR
DXE,Deutsche Bnk Egy
DXG,AMEX Spade Defense Setl
DXS,SPADE DEFEE
DXY,Dollar Index
DYH,Dynamic Top 200 Intell
DYI,AMEX Dynamic Market Intellidex
DYO,AMEX Dynamic Otc Intellidex
DZC,DYNAMIC SOFTWARE INTELLIDEX
DZE,DYNAMIC SEMICONDUCTOR INTELLIDE
DZF,DYNAMIC FOOD & BEVERAGE INTELLI
DZH,DYNAMIC HARDWARE & CO ELEC IN
DZL,DYNAMIC LEISURE&ENTERTAINMENT I
DZM,DYNAMIC MEDIA INTELLIDEX
DZN,DYNAMIC NETWORKING INTELLIDEX
DZO,Dynamic Biotech & Genome Intell
DZR,DYNAMIC PHARMACEUTICAL INTELLID
ECO,Wh Clean Energy
EED,Claymore Bric ETF Iopv
EFK,Intl Propels
EKI,Europe 2001 Holdrs Index
EMX,AMEX Major 8 European Index
EPX,SIG OIL EXPLORATION & PRODUCERS
ESX,Sel Euro 50 Ndx
EUR,Index Eur
EUV,FTSE Eurotop 100 Index Final Se
EUX,Majr 11 Intl Ndx
EVZ,CBOE EURO CURR VOL IND
EXQ,CBOE EXCHANGE INDEX
EZB,DYNAMIC BS MT INTELLIDEX
EZF,DYNAMIC FINCL INTELLIDEX
EZK,DYNAMIC ENRGY INTELLIDEX
EZL,DYNAMIC INDUS INTELLIDEX
EZS,DYNAMIC CN ST INTELLIDEX
EZV,DYNAMIC TECHN INTELLIDEX
EZX,DYNAMIC HLTHC INTELLIDEX
EZZ,DYNAMIC CN DS INTELLIDEX
FBV,Powershrs Db G10 Fd Iopv
FTSA,FTSE 350
FTSE,FTSE 100 Index
FTSM,FTSE 250
FVX,5-YEAR TREASURY NOTE
GBK,MORGAN STANLEY GLBL BSKT CPN
GBS,AMEX GBS INDEX
GDM,AMEX GOLD MINERS
GLD,Gold Index
GLI,Mer Lyn Gbl Mkt
GMI,Mkt Vector Gold Min Iopv
GNX,GSCI Spot Return
GOX,CBOE GOLD INDEX
GVX,Goldman Sachs Livestock Sub Index
GVZ,GSTI SERVICES INDEX SETTLEMENT
GWI,Merrill Lynch Sel Sector Spdr
HGX,Phlx Hsg Sector Index
HHI,M Lynch Internt
HIGA,AMEX New Highs
HIGD,OTC New Highs
HIGN,NYSE New Highs
HIGQ,NASD New Highs
HKO,AMEX Hong Kong Opt Flt Rt Index
HKX,AMEX Hong Kong 30 Index
HMO,AMEX M S Healthcare Payor Index
HMV,Morgan Stanley Healthcare Payor
HSI,Hang Seng
HUI,AMEX Gold Bugs Index
HUV,AMEX Gold Bugs Index Final Sett
HVX,Mkt Vector Env Serv Iopv
HWI,AMEX Computer Hardware Index
HWO,Computer Hardware Index Fnl Set
HXC,USX CHINA INDEX
IBH,Biotech Holdrs Index
ICK,ISE Chindia Index
IDX,S&P 400 Midcap Index
IEB,DYNAMIC LARGE CAP INTELL
IEK,DYNAMIC MID CAP INTELL
IEY,DYNAMIC SMALL CAP INTELL
IIB,SEMI INDS PLUS
III,CBOE INTERNET INDEX
IIV,AMEX Interactive Week Internet
IIX,AMEX Interactive Week Intr New
ILH,Dynamic Lg Cap Gr Intellidex
ILJ,Dynamic Mid Cp Gr Intellidex
ILK,Dynamic Sml Cp Gr Intellidex
ILP,Dynamic Mid Cp Valu Intellidex
ILR,DYNAMIC AGR GRWTH INTLDX
ILU,DYNAMIC DEEP VAL INTELDX
ILW,Dynamic Lg Cp Valu Intellidex
ILZ,Dynamic Sml Cp Valu Intellidex
INDS,Nasdaq Industrial
INSR,Nasdaq Inurance
IPH,Pharmaceutical Holdrs Index
IQX,S&P 500 EQUAL WEIGHT
IQZ,S&P 1000
IRH,Retail Holdrs Index
IRX,13-WEEK TREASURY BILL
ITH,Telecom Holdrs Index
IUX,Russell 2000 Stock Index
IVX,S&P 500 Value
IWH,Wireless Holdrs Index
IXB,Materials Select Sector Index
IXBK,Ndaq Bank
IXCO,Nasdaq Computer
IXD,Industrial 15 Index
IXE,The Energy Select Sector Index
IXF,Nasdaq Financial 100
IXFN,Ndaq Other Finance
IXHC,NASDAQ Health Care Index
IXI,Industrial Select Sector Index
IXID,Ndaq Industrial
IXIS,Ndaq Insurance
IXK,Ndaq Computer
IXM,Financial Select Sector Index
IXR,Consumer Staples Select Sector Index
IXT,Technology Select Sector Index
IXTC,Nasdaq Telecommunications
IXTR,Ndaq Transportation
IXU,Utilities Select Sector Index
IXUT,Ndaq Telecommunications
IXV,Healthcare Select Sector Index
IXY,Consumer Discretionary Select Sector Index
IXZ,ISE 250 Index
JBV,NYSE Arca Mini-Broker/Dealer  I-
JKC,ML LONG/SHRT III
JKSE,Jakarta Composite
JLO,ISE US Reg Bank Index
JPN,AMEX Japan Index
JPV,AMEX Japan Index Final Settleme
JX,Tsx Venture Composite Index
KBK,NYSE Arca Mini-Pharmaceutical I-
KDY,AMEX Hong Kong Index Float Rate
KLX,Mkt Vectors Steel Iopv
KS11,Seoul Composite
KTB,Capital Markets Bond Index
KTE,Capital Markets Equity Index
KTL,Capital Markets Liquidity Index
KTS,Capital Markets Index
LBGB,Lehman Bond Global Comp
LBUS,Lehman Bond US Comp
LOWA,AMEX New Lows
LOWD,OTC New Lows
LOWN,NYSE New Lows
LOWQ,NASD New Lows
M1HA,1-Month Highs Amex
M1HD,1-Month Highs Otcbb
M1HE,1-Month Highs Etfs
M1HH,1-Month Highs Price Gt $10
M1HL,1-Month Highs Price Lt $10
M1HN,1-Month Highs Nyse
M1HQ,1-Month Highs Nasdaq
M1HU,1-Month Highs Volume Lt 100K
M1HV,1-Month Highs Volume Gt 100K
M1HX,1-Month Highs Overall
M1LA,1-Month Lows Amex
M1LD,1-Month Lows Otcbb
M1LE,1-Month Lows Etfs
M1LH,1-Month Lows Price Gt $10
M1LL,1-Month Lows Price Lt $10
M1LN,1-Month Lows Nyse
M1LQ,1-Month Lows Nasdaq
M1LU,1-Month Lows Volume Lt 100K
M1LV,1-Month Lows Volume Gt 100K
M1LX,1-Month Lows Overall
M3HA,3-Month Highs Amex
M3HD,3-Month Highs Otcbb
M3HE,3-Month Highs Etfs
M3HH,3-Month Highs Price Gt $10
M3HL,3-Month Highs Price Lt $10
M3HN,3-Month Highs Nyse
M3HQ,3-Month Highs Nasdaq
M3HU,3-Month Highs Volume Lt 100K
M3HV,3-Month Highs Volume Gt 100K
M3HX,3-Month Highs Overall
M3LA,3-Month Lows Amex
M3LD,3-Month Lows Otcbb
M3LE,3-Month Lows Etfs
M3LH,3-Month Lows Price Gt $10
M3LL,3-Month Lows Price Lt $10
M3LN,3-Month Lows Nyse
M3LQ,3-Month Lows Nasdaq
M3LU,3-Month Lows Volume Lt 100K
M3LV,3-Month Lows Volume Gt 100K
M3LX,3-Month Lows Overall
M6HA,6-Month Highs Amex
M6HD,6-Month Highs Otcbb
M6HE,6-Month Highs Etfs
M6HH,6-Month Highs Price Gt $10
M6HL,6-Month Highs Price Lt $10
M6HN,6-Month Highs Nyse
M6HQ,6-Month Highs Nasdaq
M6HU,6-Month Highs Volume Lt 100K
M6HV,6-Month Highs Volume Gt 100K
M6HX,6-Month Highs Overall
M6LA,6-Month Lows Amex
M6LD,6-Month Lows Otcbb
M6LE,6-Month Lows Etfs
M6LH,6-Month Lows Price Gt $10
M6LL,6-Month Lows Price Lt $10
M6LN,6-Month Lows Nyse
M6LQ,6-Month Lows Nasdaq
M6LU,6-Month Lows Volume Lt 100K
M6LV,6-Month Lows Volume Gt 100K
M6LX,6-Month Lows Overall
MAHA,12-Month Highs Amex
MAHD,12-Month Highs Otcbb
MAHE,12-Month Highs Etfs
MAHH,12-Month Highs Price Gt $10
MAHL,12-Month Highs Price Lt $10
MAHN,12-Month Highs Nyse
MAHQ,12-Month Highs Nasdaq
MAHU,12-Month Highs Volume Lt 100K
MAHV,12-Month Highs Volume Gt 100K
MAHX,12-Month Highs Overall
MALA,12-Month Lows Amex
MALD,12-Month Lows Otcbb
MALE,12-Month Lows Etfs
MALH,12-Month Lows Price Gt $10
MALL,12-Month Lows Price Lt $10
MALN,12-Month Lows Nyse
MALQ,12-Month Lows Nasdaq
MALU,12-Month Lows Volume Lt 100K
MALV,12-Month Lows Volume Gt 100K
MALX,12-Month Lows Overall
MBO,CHINESE MPS BSKT
MDO,Mid Opn/Cls Avge
MEB,ENERGY INDS CPN
MEV,AMEX Mexico Index Settlement
MGD,Midcp 400Barra
MIA,Mid O/C/H/L Avg
MID,Midcap 400 Idx
MIH,Mid Hi/Lo Avge
MIV,Mid-Cap Settle
MLO,AMEX Merrill Lynch Tech 100
MMFI,Stocks Above 50-Day Average
MMOF,Stocks Above 150-Day Average
MMOH,Stocks Above 100-Day Average
MMTH,Stocks Above 200-Day Average
MMTW,Stocks Above 20-Day Average
MNG,AMEX MINI-NATURAL GAS INDEX
MOX,Morgan Stanley Internet Index
MOY,Morgan Stanley Internet Index F
MSH,AMEX Morgan Stanley Hi Tech 35
MUV,Mdcp 400Bar Val
MVH,Morgan Stanley High-Technology
MVW,VALUE 30 INDEX
MXX,Mexico IPC
MXY,AMEX Mexico Index
MXZ,PHLX MEDICAL DEVICE INDEX
MYHA,Ytd Highs Amex
MYHD,Ytd Highs Otcbb
MYHE,Ytd Highs Etfs
MYHH,Ytd Highs Price Gt $10
MYHL,Ytd Highs Price Lt $10
MYHN,Ytd Highs Nyse
MYHQ,Ytd Highs Nasdaq
MYHU,Ytd Highs Volume Lt 100K
MYHV,Ytd Highs Volume Gt 100K
MYHX,Ytd Highs Overall
MYLA,Ytd Lows Amex
MYLD,Ytd Lows Otcbb
MYLE,Ytd Lows Etfs
MYLH,Ytd Lows Price Gt $10
MYLL,Ytd Lows Price Lt $10
MYLN,Ytd Lows Nyse
MYLQ,Ytd Lows Nasdaq
MYLU,Ytd Lows Volume Lt 100K
MYLV,Ytd Lows Volume Gt 100K
MYLX,Ytd Lows Overall
